6.300232991339400002e+01,5.263529795950977785e+01,5.761136474750065162e+01,6.507873206995350301e+01,7.995689302709592994e+01,7.371603297649376429e+01
5.169053830592211085e+01,6.564057444873945713e+01,7.293865961960094069e+01,1.080983942141616616e+01,3.918364612516205625e+01,9.475249605708022216e+01
3.402756545655127240e+01,5.313785048007117950e+01,6.005486717968166488e+01,2.696440423227762295e+01,2.092797967896629530e+01,8.145260181726879978e+01
3.682281647681109149e+01,5.808197328471033671e+01,6.474773149242912496e+01,2.783503603934194714e+01,1.537123529889845486e+01,8.574243466435150651e+01
4.289952849353122843e+01,6.646287324433423294e+01,7.266240124843169212e+01,3.378906505729042919e+01,1.052460066668713523e+01,9.280105494102207331e+01
7.141488299524577599e+01,6.015953347088973402e+01,6.473873629750887915e+01,7.075274878565950587e+01,8.799589119325558784e+01,7.965405940518913042e+01
2.377653273457681138e+01,4.928554840165721629e+01,5.397827532970064368e+01,5.469442962852296830e+01,1.547373666296502215e+01,7.164710735150924847e+01
6.446491937219808221e+01,5.073085585795983832e+01,5.482686883889819995e+01,7.279223471734955808e+01,8.464691299565581062e+01,6.901964291801228057e+01
1.095874816622257697e+01,2.493750596782158624e+01,3.165102340735442610e+01,5.305862718784620569e+01,3.571788739765928256e+01,5.297230217803961239e+01
5.046187098685111749e+01,7.414692346501148279e+01,7.700687431769412683e+01,7.754207796026972233e+01,3.607564775754544684e+01,9.002768188656702364e+01
3.580666839432362991e+01,3.744410535788408367e+01,3.462814964200990175e+01,9.573144631205177291e+01,6.268006000977242564e+01,3.679174830260882345e+01
3.622979413187635345e+01,4.560559163573751107e+01,5.292596863031737087e+01,3.147995676697305356e+01,3.944272123844761779e+01,7.466957480020795401e+01
3.429527440399379401e+01,2.472630700461635200e+01,1.992429988109572747e+01,9.388068658955344858e+01,6.699020496748447329e+01,2.137083083757393354e+01
4.316032760301648352e+01,5.305226323540000521e+01,5.159177897841480842e+01,9.853163284694998936e+01,6.026186918255399405e+01,5.506052597407187221e+01
3.402068972029668714e+01,4.607221502650248368e+01,5.336782028419547430e+01,2.997594425222217751e+01,3.473636586046129082e+01,7.518202936477277376e+01
4.170715651941514324e+01,4.975280761039542199e+01,5.704760918303233552e+01,2.946152403226693650e+01,4.358646651740411215e+01,7.865136220812757983e+01
